Contestant,Total score,Jury score,Televoting score
Ukraine,130,11,119
Spain,61,43,18
Slovenia,64,41,23
Lithuania,181,90,91
Austria,342,271,71
Estonia,245,143,102
Norway,144,60,84
Portugal,39,21,18
United Kingdom,48,23,25
Serbia,113,38,75
Germany,340,204,136
Albania,184,126,58
France,173,114,59
Czech Republic,281,66,215
Denmark,226,38,188
Australia,99,90,9
Finland,46,23,23
Bulgaria,166,100,66
Moldova,209,94,115
Sweden,274,253,21
Hungary,93,28,65
Israel,529,212,317
Netherlands,121,89,32
Ireland,136,74,62
Cyprus,436,183,253
Italy,308,59,249
